#: table_doi: 10.17182/hepdata.72886.v2/t2
#: name: Table 2
#: description: Centrality dependence of $v_3$ and $v_4$, with two-particle correlations, integrated over the $p_{\rm T}$ range 0.2 < $p_{\rm T}$ < 5.0 GeV/c, at $\sqrt{s_{\rm NN}}$ = 5.02 TeV.

#: data_file: Table2.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V3 | V4
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 5023.0
#: ETARAP,,,-0.8-0.8
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5023.0
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,"V3{2, |DELTAETA|>1}",stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.02067,0.00063,-0.00063,0.00095,-0.00095
7.5,5.0,10.0,0.0232,0.0008,-0.0008,0.00107,-0.00107
15.0,10.0,20.0,0.02799,0.00047,-0.00047,0.00129,-0.00129
25.0,20.0,30.0,0.03093,0.00062,-0.00062,0.00142,-0.00142
35.0,30.0,40.0,0.03314,0.00084,-0.00084,0.00152,-0.00152
45.0,40.0,50.0,0.03234,0.00136,-0.00136,0.00149,-0.00149
55.0,50.0,60.0,0.02705,0.00283,-0.00283,0.00124,-0.00124
65.0,60.0,70.0,0.02769,0.00547,-0.00547,0.00127,-0.00127

#: ETARAP,,,-0.8-0.8
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5023.0
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,"V4{2, |DELTAETA|>1}",stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.01146,0.00095,-0.00095,0.00055,-0.00055
7.5,5.0,10.0,0.01291,0.0012,-0.0012,0.00062,-0.00062
15.0,10.0,20.0,0.01383,0.00079,-0.00079,0.00066,-0.00066
25.0,20.0,30.0,0.01568,0.00104,-0.00104,0.00075,-0.00075
35.0,30.0,40.0,0.01702,0.00147,-0.00147,0.00082,-0.00082
45.0,40.0,50.0,0.01629,0.00245,-0.00245,0.00078,-0.00078
55.0,50.0,60.0,0.01771,0.00407,-0.00407,0.00086,-0.00086
65.0,60.0,70.0,0.01987,0.00735,-0.00735,0.00095,-0.00095

