# data is from https://arxiv.org/pdf/1910.07678.pdf
# cen  dN/dy  stat_err  sys_err
2.5  74.56 0.06  3.75
7.5  61.51 0.07  2.93
15   47.40 0.04  2.20
25   33.17 0.04  1.50
35   22.51 0.03  1.01
45   14.46 0.02  0.66
55   8.71 0.02   0.40
65   4.74 0.01   0.27
75   2.30 0.01   0.14
85   0.92 0.01   0.06
