#: table_doi: 10.17182/hepdata.104923.v1/t1
#: name: Table 1
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_1.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.11,0.1,0.12,2049.8,10.988,-10.988,146.0,-146.0,39.875,-39.875
0.13,0.12,0.14,2187.3,10.068,-10.068,112.04,-112.04,42.552,-42.552
0.15000000000000002,0.14,0.16,2291.6,10.089,-10.089,112.48,-112.48,44.584,-44.584
0.16999999999999998,0.16,0.18,2357.6,10.101,-10.101,111.94,-111.94,45.869,-45.869
0.19,0.18,0.2,2384.7,10.042,-10.042,112.54,-112.54,46.399,-46.399
0.225,0.2,0.25,2356.9,8.8146,-8.8146,112.2,-112.2,45.862,-45.862
0.275,0.25,0.3,2250.6,8.3998,-8.3998,109.84,-109.84,43.801,-43.801
0.32499999999999996,0.3,0.35,2306.0,2.8195,-2.8195,55.274,-55.274,28.577,-28.577
0.375,0.35,0.4,2131.4,2.3435,-2.3435,48.012,-48.012,22.901,-22.901
0.42500000000000004,0.4,0.45,1937.2,2.2377,-2.2377,44.754,-44.754,20.457,-20.457
0.475,0.45,0.5,1748.5,2.0842,-2.0842,41.416,-41.416,18.44,-18.44
0.525,0.5,0.55,1556.7,1.6691,-1.6691,32.128,-32.128,16.114,-16.114
0.575,0.55,0.6,1382.8,1.6927,-1.6927,30.866,-30.866,14.028,-14.028
0.625,0.6,0.65,1227.3,1.781,-1.781,32.442,-32.442,12.598,-12.598
0.675,0.65,0.7,1098.9,1.6112,-1.6112,31.376,-31.376,11.698,-11.698
0.725,0.7,0.75,991.06,1.1729,-1.1729,33.719,-33.719,16.13,-16.13
0.775,0.75,0.8,890.56,1.0956,-1.0956,31.557,-31.557,15.628,-15.628
0.825,0.8,0.85,798.43,0.96512,-0.96512,28.033,-28.033,13.72,-13.72
0.875,0.85,0.9,717.64,0.94607,-0.94607,24.901,-24.901,12.969,-12.969
0.925,0.9,0.95,646.49,0.93323,-0.93323,22.541,-22.541,12.124,-12.124
0.975,0.95,1.0,579.66,0.91431,-0.91431,19.811,-19.811,11.236,-11.236
1.05,1.0,1.1,488.6,0.60172,-0.60172,16.526,-16.526,8.5475,-8.5475
1.15,1.1,1.2,376.55,0.52672,-0.52672,13.028,-13.028,7.4507,-7.4507
1.25,1.2,1.3,313.76,2.3753,-2.3753,11.477,-11.477,6.926,-6.926
1.35,1.3,1.4,249.63,0.44113,-0.44113,9.4415,-9.4415,5.658,-5.658
1.45,1.4,1.5,199.13,0.38984,-0.38984,7.4297,-7.4297,4.7433,-4.7433
1.55,1.5,1.6,159.51,0.33607,-0.33607,5.9128,-5.9128,3.7372,-3.7372
1.65,1.6,1.7,126.83,0.28554,-0.28554,5.9642,-5.9642,2.8109,-2.8109
1.75,1.7,1.8,102.06,0.24875,-0.24875,4.7381,-4.7381,2.111,-2.111
1.85,1.8,1.9,80.97,0.21263,-0.21263,3.7685,-3.7685,1.7561,-1.7561
1.95,1.9,2.0,65.188,0.18411,-0.18411,3.2052,-3.2052,1.5364,-1.5364
2.1,2.0,2.2,45.736,0.082806,-0.082806,1.7968,-1.7968,0.97076,-0.97076
2.3,2.2,2.4,29.707,0.056804,-0.056804,1.0375,-1.0375,0.62521,-0.62521
2.5,2.4,2.6,19.477,0.040783,-0.040783,0.58314,-0.58314,0.3368,-0.3368
2.7,2.6,2.8,12.927,0.030342,-0.030342,0.35997,-0.35997,0.24393,-0.24393
2.9,2.8,3.0,8.6974,0.022959,-0.022959,0.24484,-0.24484,0.16139,-0.16139
3.1,3.0,3.2,5.8994,0.017588,-0.017588,0.16403,-0.16403,0.088448,-0.088448
3.3,3.2,3.4,4.0483,0.013575,-0.013575,0.10621,-0.10621,0.053813,-0.053813
3.5,3.4,3.6,2.8037,0.010225,-0.010225,0.070918,-0.070918,0.032954,-0.032954
3.7,3.6,3.8,1.9901,0.008012,-0.008012,0.049759,-0.049759,0.024886,-0.024886
3.9,3.8,4.0,1.4312,0.0062403,-0.0062403,0.034231,-0.034231,0.016573,-0.016573
4.25,4.0,4.5,0.85377,0.0027573,-0.0027573,0.02178,-0.02178,0.010177,-0.010177
4.75,4.5,5.0,0.43378,0.0017639,-0.0017639,0.0102,-0.0102,0.0046109,-0.0046109
5.25,5.0,5.5,0.24406,0.0012279,-0.0012279,0.0055355,-0.0055355,0.0013073,-0.0013073
5.75,5.5,6.0,0.1475,0.00090456,-0.00090456,0.0033369,-0.0033369,0.0010232,-0.0010232
6.25,6.0,6.5,0.097556,0.0003923,-0.0003923,0.0024062,-0.0024062,0.00047479,-0.00047479
6.75,6.5,7.0,0.067227,0.00031593,-0.00031593,0.0016917,-0.0016917,0.00023633,-0.00023633
7.5,7.0,8.0,0.041627,0.00018986,-0.00018986,0.0011916,-0.0011916,0.0002805,-0.0002805
8.5,8.0,9.0,0.023737,0.00013762,-0.00013762,0.00059458,-0.00059458,0.00015603,-0.00015603
9.5,9.0,10.0,0.014573,0.00010515,-0.00010515,0.00036503,-0.00036503,9.4815e-05,-9.4815e-05
10.5,10.0,11.0,0.0094158,8.3276e-05,-8.3276e-05,0.00022827,-0.00022827,8.7983e-06,-8.7983e-06
11.5,11.0,12.0,0.0063599,6.7898e-05,-6.7898e-05,0.00015419,-0.00015419,7.6441e-06,-7.6441e-06
12.5,12.0,13.0,0.0043829,5.5718e-05,-5.5718e-05,0.00010626,-0.00010626,5.7426e-06,-5.7426e-06
13.5,13.0,14.0,0.0032265,4.8113e-05,-4.8113e-05,7.9509e-05,-7.9509e-05,1.1635e-05,-1.1635e-05
14.5,14.0,15.0,0.0023406,4.001e-05,-4.001e-05,5.7678e-05,-5.7678e-05,9.645e-06,-9.645e-06
15.5,15.0,16.0,0.0017306,3.3723e-05,-3.3723e-05,4.2647e-05,-4.2647e-05,7.5964e-06,-7.5964e-06
17.0,16.0,18.0,0.0011531,2.1171e-05,-2.1171e-05,2.8416e-05,-2.8416e-05,4.8337e-06,-4.8337e-06
19.0,18.0,20.0,0.0007034,1.6465e-05,-1.6465e-05,1.7334e-05,-1.7334e-05,2.6168e-06,-2.6168e-06

#: CENTRALITY [pct],,,5.0-10.0
#: RE,,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.11,0.1,0.12,1579.6,10.071,-10.071,115.22,-115.22,30.73,-30.73
0.13,0.12,0.14,1723.9,9.0169,-9.0169,92.376,-92.376,33.537,-33.537
0.15000000000000002,0.14,0.16,1826.7,8.9542,-8.9542,94.151,-94.151,35.535,-35.535
0.16999999999999998,0.16,0.18,1888.3,8.9207,-8.9207,94.446,-94.446,36.737,-36.737
0.19,0.18,0.2,1920.2,8.8299,-8.8299,95.519,-95.519,37.36,-37.36
0.225,0.2,0.25,1901.0,7.0585,-7.0585,95.309,-95.309,36.992,-36.992
0.275,0.25,0.3,1826.3,6.7756,-6.7756,93.642,-93.642,35.544,-35.544
0.32499999999999996,0.3,0.35,1877.9,2.2331,-2.2331,43.206,-43.206,12.175,-12.175
0.375,0.35,0.4,1735.4,1.8312,-1.8312,35.946,-35.946,7.4794,-7.4794
0.42500000000000004,0.4,0.45,1576.9,1.6792,-1.6792,32.034,-32.034,7.2025,-7.2025
0.475,0.45,0.5,1424.6,1.5867,-1.5867,29.534,-29.534,8.3241,-8.3241
0.525,0.5,0.55,1265.8,1.4256,-1.4256,23.667,-23.667,8.7415,-8.7415
0.575,0.55,0.6,1137.0,1.3563,-1.3563,21.419,-21.419,8.745,-8.745
0.625,0.6,0.65,997.44,1.632,-1.632,25.255,-25.255,8.4273,-8.4273
0.675,0.65,0.7,889.24,1.5939,-1.5939,25.354,-25.354,8.2244,-8.2244
0.725,0.7,0.75,803.37,1.2037,-1.2037,27.183,-27.183,12.154,-12.154
0.775,0.75,0.8,719.99,1.3738,-1.3738,25.316,-25.316,13.055,-13.055
0.825,0.8,0.85,646.36,1.0657,-1.0657,22.543,-22.543,11.378,-11.378
0.875,0.85,0.9,580.76,1.0471,-1.0471,19.946,-19.946,9.2228,-9.2228
0.925,0.9,0.95,523.34,1.0357,-1.0357,18.158,-18.158,10.056,-10.056
0.975,0.95,1.0,467.15,1.0075,-1.0075,15.845,-15.845,7.5656,-7.5656
1.05,1.0,1.1,395.85,0.67156,-0.67156,13.277,-13.277,6.6157,-6.6157
1.15,1.1,1.2,305.53,0.5939,-0.5939,10.467,-10.467,5.5069,-5.5069
1.25,1.2,1.3,255.87,2.1744,-2.1744,9.2884,-9.2884,5.3344,-5.3344
1.35,1.3,1.4,203.9,0.50445,-0.50445,7.6454,-7.6454,4.3983,-4.3983
1.45,1.4,1.5,162.97,0.44773,-0.44773,6.0241,-6.0241,3.3248,-3.3248
1.55,1.5,1.6,130.09,0.37958,-0.37958,4.7459,-4.7459,2.7473,-2.7473
1.65,1.6,1.7,103.72,0.3209,-0.3209,4.8547,-4.8547,2.3977,-2.3977
1.75,1.7,1.8,82.765,0.2756,-0.2756,3.8224,-3.8224,1.6524,-1.6524
1.85,1.8,1.9,66.998,0.24164,-0.24164,3.0824,-3.0824,1.4195,-1.4195
1.95,1.9,2.0,53.564,0.20541,-0.20541,2.6231,-2.6231,1.1274,-1.1274
2.1,2.0,2.2,37.648,0.099308,-0.099308,1.5227,-1.5227,0.85588,-0.85588
2.3,2.2,2.4,24.504,0.069889,-0.069889,0.85022,-0.85022,0.52548,-0.52548
2.5,2.4,2.6,16.224,0.051389,-0.051389,0.4825,-0.4825,0.33035,-0.33035
2.7,2.6,2.8,10.888,0.038831,-0.038831,0.30083,-0.30083,0.21602,-0.21602
2.9,2.8,3.0,7.3754,0.029657,-0.029657,0.20106,-0.20106,0.13688,-0.13688
3.1,3.0,3.2,5.0609,0.022923,-0.022923,0.13472,-0.13472,0.074709,-0.074709
3.3,3.2,3.4,3.4781,0.017573,-0.017573,0.079119,-0.079119,0.03194,-0.03194
3.5,3.4,3.6,2.4417,0.013446,-0.013446,0.054767,-0.054767,0.019412,-0.019412
3.7,3.6,3.8,1.7554,0.010699,-0.010699,0.041276,-0.041276,0.018115,-0.018115
3.9,3.8,4.0,1.2712,0.0085163,-0.0085163,0.028382,-0.028382,0.012021,-0.012021
4.25,4.0,4.5,0.76697,0.0037926,-0.0037926,0.018067,-0.018067,0.0082099,-0.0082099
4.75,4.5,5.0,0.396,0.0024387,-0.0024387,0.0081659,-0.0081659,0.0029548,-0.0029548
5.25,5.0,5.5,0.22441,0.001697,-0.001697,0.0049265,-0.0049265,0.001495,-0.001495
5.75,5.5,6.0,0.137,0.001258,-0.001258,0.0027141,-0.0027141,0.00037843,-0.00037843
6.25,6.0,6.5,0.089973,0.00043472,-0.00043472,0.0021476,-0.0021476,0.0001273,-0.0001273
6.75,6.5,7.0,0.061766,0.00033685,-0.00033685,0.0015477,-0.0015477,0.00015018,-0.00015018
7.5,7.0,8.0,0.038177,0.0002033,-0.0002033,0.00092121,-0.00092121,9.9577e-05,-9.9577e-05
8.5,8.0,9.0,0.021759,0.00014148,-0.00014148,0.00052048,-0.00052048,4.6589e-05,-4.6589e-05
9.5,9.0,10.0,0.013142,0.00010421,-0.00010421,0.00031437,-0.00031437,3.0956e-05,-3.0956e-05
10.5,10.0,11.0,0.0085248,8.1507e-05,-8.1507e-05,0.00020457,-0.00020457,2.2741e-05,-2.2741e-05
11.5,11.0,12.0,0.0056228,6.4802e-05,-6.4802e-05,0.00013493,-0.00013493,1.4451e-05,-1.4451e-05
12.5,12.0,13.0,0.003947,5.352e-05,-5.352e-05,9.4716e-05,-9.4716e-05,1.0758e-05,-1.0758e-05
13.5,13.0,14.0,0.0028351,4.5262e-05,-4.5262e-05,6.8172e-05,-6.8172e-05,5.3494e-06,-5.3494e-06
14.5,14.0,15.0,0.00206,3.7575e-05,-3.7575e-05,4.9536e-05,-4.9536e-05,3.1247e-06,-3.1247e-06
15.5,15.0,16.0,0.0015327,3.1789e-05,-3.1789e-05,3.6856e-05,-3.6856e-05,2.1217e-06,-2.1217e-06
17.0,16.0,18.0,0.0010337,2.0099e-05,-2.0099e-05,2.4857e-05,-2.4857e-05,1.2859e-06,-1.2859e-06
