# data from https://arxiv.org/pdf/1910.07678.pdf
# cen  <pT>   stat_err sys_err
2.5  1.4482 0.0007  0.0244
7.5  1.4334 0.0009  0.0224
15   1.4143 0.0007  0.0216
25   1.3768 0.0008  0.0199
35   1.3209 0.0010  0.0177
45   1.2570 0.0012  0.0179
55   1.1822 0.0016  0.0151
65   1.1004 0.0022  0.0184
75   1.0181 0.0030  0.0221
85   0.9464 0.0053  0.0277
