# data from https://arxiv.org/pdf/1910.07678.pdf
# cen  <pT>   stat_err sys_err
2.5  0.5682 0.0002  0.0320
7.5  0.5711 0.0002  0.0181
15   0.5704 0.0002  0.0174
25   0.5615 0.0002  0.0192
35   0.5525 0.0002  0.0198
45   0.5389 0.0003  0.0206
55   0.5214 0.0004  0.0215
65   0.5082 0.0004  0.0205
75   0.4924 0.0006  0.0203
85   0.4775 0.0008  0.0178
