# data is from https://arxiv.org/pdf/1910.07678.pdf
# cen  dN/dy  stat_err  sys_err
2.5  273.41 0.35  11.62
7.5  222.48 0.54  9.37
15   168.16 0.24  6.89
25   114.70 0.15  4.67
35   75.00 0.09   2.96
45   46.36 0.06   1.88
55   26.38 0.05   1.09
65   13.38 0.03   0.64
75   6.01 0.02    0.30
85   2.27 0.01    0.12
