# https://arxiv.org/abs/1612.08966
#: table_doi: 10.17182/hepdata.78365.v1/t1
#: name: DN/DETARAP
#: description: Charged-particle pseudorapidity density for ten centrality classes over a broad $\eta$ range in Pb-Pb collisions at $\sqrt{s_{_{\mathrm{NN}}}}=5.02\  \mathrm{TeV}$. Boxes around the points reflect the total uncorrelated systematic uncertainties   while the filled squares on the right reflect the correlated systematic uncertainty (evaluated at $\eta=0$). Statistical errors are generally insignificant and smaller than the markers.  Also shown is the reflection of the $3.5<\eta<5$ values around $\eta=0$ (open circles).  The line corresponds to fits of the difference between two Gaussians centred at $\eta=0$ ($f_{\text{GG}}$) [PLB754.373] to the data.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword cmenergies: 5023.0
#: SYS      Centrality        
#: Centrality [PCT]      1.0
#: EM contamination [PCT]      0
#: CENTRALITY [PCT]      20.0-30.0
#$\eta$  $\eta$ LOW  $\eta$ HIGH  $\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$  stat +  stat -  sys +  sys -
-3.375  -3.5  -3.25  714.0  1.0  -1.0  32.0  -32.0
-3.125  -3.25  -3.0  726.0  1.0  -1.0  33.0  -33.0
-2.875  -3.0  -2.75  738.0  1.0  -1.0  33.0  -33.0
-2.625  -2.75  -2.5  759.0  1.0  -1.0  34.0  -34.0
-2.375  -2.5  -2.25  772.0  1.0  -1.0  35.0  -35.0
-2.125  -2.25  -2.0  797.0  1.0  -1.0  36.0  -36.0
-1.875  -2.0  -1.75  827.0  1.0  -1.0  26.0  -26.0
-1.625  -1.75  -1.5  842.0  1.0  -1.0  31.0  -31.0
-1.375  -1.5  -1.25  844.0  1.0  -1.0  28.0  -28.0
-1.125  -1.25  -1.0  838.0  1.0  -1.0  25.0  -25.0
-0.875  -1.0  -0.75  826.0  1.0  -1.0  22.0  -22.0
-0.625  -0.75  -0.5  811.9  0.5  -0.5  20.1  -20.1
-0.375  -0.5  -0.25  799.2  0.5  -0.5  18.7  -18.7
-0.125  -0.25  0.0  792.4  0.5  -0.5  17.9  -17.9
0.125  0.0  0.25  792.4  0.5  -0.5  17.9  -17.9
0.375  0.25  0.5  799.2  0.5  -0.5  18.7  -18.7
0.625  0.5  0.75  811.9  0.5  -0.5  20.1  -20.1
0.875  0.75  1.0  826.0  1.0  -1.0  22.0  -22.0
1.125  1.0  1.25  838.0  1.0  -1.0  25.0  -25.0
1.375  1.25  1.5  844.0  1.0  -1.0  28.0  -28.0
1.625  1.5  1.75  842.0  1.0  -1.0  31.0  -31.0
1.875  1.75  2.0  827.0  1.0  -1.0  26.0  -26.0
2.125  2.0  2.25  797.0  1.0  -1.0  36.0  -36.0
2.375  2.25  2.5  772.0  1.0  -1.0  35.0  -35.0
2.625  2.5  2.75  759.0  1.0  -1.0  34.0  -34.0
2.875  2.75  3.0  738.0  1.0  -1.0  33.0  -33.0
3.125  3.0  3.25  726.0  1.0  -1.0  33.0  -33.0
3.375  3.25  3.5  714.0  1.0  -1.0  32.0  -32.0
3.625  3.5  3.75  665.0  1.0  -1.0  44.0  -45.0
3.875  3.75  4.0  625.4  0.3  -0.3  41.1  -42.5
4.125  4.0  4.25  582.6  0.3  -0.3  38.3  -39.6
4.375  4.25  4.5  565.5  0.3  -0.3  37.2  -38.4
4.625  4.5  4.75  551.4  0.4  -0.4  36.2  -37.5
4.875  4.75  5.0  538.0  1.0  -1.0  35.0  -37.0
