# https://arxiv.org/abs/1612.08966
#: table_doi: 10.17182/hepdata.78365.v1/t1
#: name: DN/DETARAP
#: description: Charged-particle pseudorapidity density for ten centrality classes over a broad $\eta$ range in Pb-Pb collisions at $\sqrt{s_{_{\mathrm{NN}}}}=5.02\  \mathrm{TeV}$. Boxes around the points reflect the total uncorrelated systematic uncertainties   while the filled squares on the right reflect the correlated systematic uncertainty (evaluated at $\eta=0$). Statistical errors are generally insignificant and smaller than the markers.  Also shown is the reflection of the $3.5<\eta<5$ values around $\eta=0$ (open circles).  The line corresponds to fits of the difference between two Gaussians centred at $\eta=0$ ($f_{\text{GG}}$) [PLB754.373] to the data.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword cmenergies: 5023.0
#: SYS      Centrality        
#: Centrality [PCT]      2.0
#: EM contamination [PCT]      0
#: CENTRALITY [PCT]      30.0-40.0
#$\eta$  $\eta$ LOW  $\eta$ HIGH  $\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$  stat +  stat -  sys +  sys -
-3.375  -3.5  -3.25  475.0  1.0  -1.0  21.0  -21.0
-3.125  -3.25  -3.0  482.7  0.5  -0.5  21.8  -21.8
-2.875  -3.0  -2.75  489.7  0.4  -0.4  22.1  -22.1
-2.625  -2.75  -2.5  502.6  0.4  -0.4  22.7  -22.7
-2.375  -2.5  -2.25  510.6  0.5  -0.5  23.0  -23.0
-2.125  -2.25  -2.0  522.0  0.4  -0.4  23.5  -23.5
-1.875  -2.0  -1.75  539.9  0.4  -0.4  15.9  -15.9
-1.625  -1.75  -1.5  549.0  1.0  -1.0  19.0  -19.0
-1.375  -1.5  -1.25  549.3  0.5  -0.5  16.7  -16.7
-1.125  -1.25  -1.0  545.5  0.4  -0.4  15.1  -15.1
-0.875  -1.0  -0.75  537.5  0.4  -0.4  13.6  -13.6
-0.625  -0.75  -0.5  527.6  0.4  -0.4  12.6  -12.6
-0.375  -0.5  -0.25  519.3  0.4  -0.4  11.7  -11.7
-0.125  -0.25  0.0  514.7  0.4  -0.4  11.4  -11.4
0.125  0.0  0.25  514.7  0.4  -0.4  11.4  -11.4
0.375  0.25  0.5  519.3  0.4  -0.4  11.7  -11.7
0.625  0.5  0.75  527.6  0.4  -0.4  12.6  -12.6
0.875  0.75  1.0  537.5  0.4  -0.4  13.6  -13.6
1.125  1.0  1.25  545.5  0.4  -0.4  15.1  -15.1
1.375  1.25  1.5  549.3  0.5  -0.5  16.7  -16.7
1.625  1.5  1.75  549.0  1.0  -1.0  19.0  -19.0
1.875  1.75  2.0  539.9  0.4  -0.4  15.9  -15.9
2.125  2.0  2.25  522.0  0.4  -0.4  23.5  -23.5
2.375  2.25  2.5  510.6  0.5  -0.5  23.0  -23.0
2.625  2.5  2.75  502.6  0.4  -0.4  22.7  -22.7
2.875  2.75  3.0  489.7  0.4  -0.4  22.1  -22.1
3.125  3.0  3.25  482.7  0.5  -0.5  21.8  -21.8
3.375  3.25  3.5  475.0  1.0  -1.0  21.0  -21.0
3.625  3.5  3.75  440.0  1.0  -1.0  29.0  -30.0
3.875  3.75  4.0  413.6  0.3  -0.3  27.2  -28.1
4.125  4.0  4.25  386.7  0.3  -0.3  25.4  -26.3
4.375  4.25  4.5  375.6  0.3  -0.3  24.7  -25.5
4.625  4.5  4.75  368.0  0.3  -0.3  24.2  -25.0
4.875  4.75  5.0  359.9  0.4  -0.4  23.7  -24.5
