# https://arxiv.org/abs/1612.08966
#: table_doi: 10.17182/hepdata.78365.v1/t1
#: name: DN/DETARAP
#: description: Charged-particle pseudorapidity density for ten centrality classes over a broad $\eta$ range in Pb-Pb collisions at $\sqrt{s_{_{\mathrm{NN}}}}=5.02\  \mathrm{TeV}$. Boxes around the points reflect the total uncorrelated systematic uncertainties   while the filled squares on the right reflect the correlated systematic uncertainty (evaluated at $\eta=0$). Statistical errors are generally insignificant and smaller than the markers.  Also shown is the reflection of the $3.5<\eta<5$ values around $\eta=0$ (open circles).  The line corresponds to fits of the difference between two Gaussians centred at $\eta=0$ ($f_{\text{GG}}$) [PLB754.373] to the data.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword cmenergies: 5023.0
#: SYS      Centrality        
#: Centrality [PCT]      1.0
#: EM contamination [PCT]      0
#: CENTRALITY [PCT]      10.0-20.0
#$\eta$  $\eta$ LOW  $\eta$ HIGH  $\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$  stat +  stat -  sys +  sys -
-3.375  -3.5  -3.25  1038.0  2.0  -2.0  47.0  -47.0
-3.125  -3.25  -3.0  1061.0  1.0  -1.0  48.0  -48.0
-2.875  -3.0  -2.75  1080.0  1.0  -1.0  49.0  -49.0
-2.625  -2.75  -2.5  1114.0  1.0  -1.0  50.0  -50.0
-2.375  -2.5  -2.25  1136.0  1.0  -1.0  51.0  -51.0
-2.125  -2.25  -2.0  1178.0  1.0  -1.0  53.0  -53.0
-1.875  -2.0  -1.75  1229.0  1.0  -1.0  39.0  -39.0
-1.625  -1.75  -1.5  1253.0  1.0  -1.0  49.0  -49.0
-1.375  -1.5  -1.25  1256.0  1.0  -1.0  43.0  -43.0
-1.125  -1.25  -1.0  1247.0  1.0  -1.0  38.0  -38.0
-0.875  -1.0  -0.75  1229.0  1.0  -1.0  34.0  -34.0
-0.625  -0.75  -0.5  1210.0  1.0  -1.0  31.0  -31.0
-0.375  -0.5  -0.25  1191.0  1.0  -1.0  28.0  -28.0
-0.125  -0.25  0.0  1181.0  1.0  -1.0  28.0  -28.0
0.125  0.0  0.25  1181.0  1.0  -1.0  28.0  -28.0
0.375  0.25  0.5  1191.0  1.0  -1.0  28.0  -28.0
0.625  0.5  0.75  1210.0  1.0  -1.0  31.0  -31.0
0.875  0.75  1.0  1229.0  1.0  -1.0  34.0  -34.0
1.125  1.0  1.25  1247.0  1.0  -1.0  38.0  -38.0
1.375  1.25  1.5  1256.0  1.0  -1.0  43.0  -43.0
1.625  1.5  1.75  1253.0  1.0  -1.0  49.0  -49.0
1.875  1.75  2.0  1229.0  1.0  -1.0  39.0  -39.0
2.125  2.0  2.25  1178.0  1.0  -1.0  53.0  -53.0
2.375  2.25  2.5  1136.0  1.0  -1.0  51.0  -51.0
2.625  2.5  2.75  1114.0  1.0  -1.0  50.0  -50.0
2.875  2.75  3.0  1080.0  1.0  -1.0  49.0  -49.0
3.125  3.0  3.25  1061.0  1.0  -1.0  48.0  -48.0
3.375  3.25  3.5  1038.0  2.0  -2.0  47.0  -47.0
3.625  3.5  3.75  977.0  1.0  -1.0  64.0  -66.0
3.875  3.75  4.0  921.3  0.4  -0.4  60.6  -62.6
4.125  4.0  4.25  857.7  0.4  -0.4  56.4  -58.3
4.375  4.25  4.5  829.6  0.4  -0.4  54.5  -56.4
4.625  4.5  4.75  807.4  0.5  -0.5  53.1  -54.9
4.875  4.75  5.0  787.0  1.0  -1.0  52.0  -53.0
