# https://arxiv.org/abs/1612.08966
#: table_doi: 10.17182/hepdata.78365.v1/t1
#: name: DN/DETARAP
#: description: Charged-particle pseudorapidity density for ten centrality classes over a broad $\eta$ range in Pb-Pb collisions at $\sqrt{s_{_{\mathrm{NN}}}}=5.02\  \mathrm{TeV}$. Boxes around the points reflect the total uncorrelated systematic uncertainties   while the filled squares on the right reflect the correlated systematic uncertainty (evaluated at $\eta=0$). Statistical errors are generally insignificant and smaller than the markers.  Also shown is the reflection of the $3.5<\eta<5$ values around $\eta=0$ (open circles).  The line corresponds to fits of the difference between two Gaussians centred at $\eta=0$ ($f_{\text{GG}}$) [PLB754.373] to the data.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword cmenergies: 5023.0
#: SYS      Centrality        
#: Centrality [PCT]      3.0
#: EM contamination [PCT]      0
#: CENTRALITY [PCT]      40.0-50.0
#$\eta$  $\eta$ LOW  $\eta$ HIGH  $\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$  stat +  stat -  sys +  sys -
-3.375  -3.5  -3.25  302.0  1.0  -1.0  14.0  -14.0
-3.125  -3.25  -3.0  306.3  0.4  -0.4  13.8  -13.8
-2.875  -3.0  -2.75  310.1  0.3  -0.3  14.0  -14.0
-2.625  -2.75  -2.5  317.9  0.3  -0.3  14.3  -14.3
-2.375  -2.5  -2.25  322.3  0.4  -0.4  14.5  -14.5
-2.125  -2.25  -2.0  327.6  0.3  -0.3  14.8  -14.8
-1.875  -2.0  -1.75  335.1  0.3  -0.3  9.3  -9.3
-1.625  -1.75  -1.5  340.0  1.0  -1.0  11.0  -11.0
-1.375  -1.5  -1.25  340.2  0.4  -0.4  9.6  -9.6
-1.125  -1.25  -1.0  337.7  0.3  -0.3  8.7  -8.7
-0.875  -1.0  -0.75  332.5  0.3  -0.3  7.9  -7.9
-0.625  -0.75  -0.5  326.3  0.3  -0.3  7.4  -7.4
-0.375  -0.5  -0.25  320.7  0.3  -0.3  7.0  -7.0
-0.125  -0.25  0.0  317.5  0.3  -0.3  6.7  -6.7
0.125  0.0  0.25  317.5  0.3  -0.3  6.7  -6.7
0.375  0.25  0.5  320.7  0.3  -0.3  7.0  -7.0
0.625  0.5  0.75  326.3  0.3  -0.3  7.4  -7.4
0.875  0.75  1.0  332.5  0.3  -0.3  7.9  -7.9
1.125  1.0  1.25  337.7  0.3  -0.3  8.7  -8.7
1.375  1.25  1.5  340.2  0.4  -0.4  9.6  -9.6
1.625  1.5  1.75  340.0  1.0  -1.0  11.0  -11.0
1.875  1.75  2.0  335.1  0.3  -0.3  9.3  -9.3
2.125  2.0  2.25  327.6  0.3  -0.3  14.8  -14.8
2.375  2.25  2.5  322.3  0.4  -0.4  14.5  -14.5
2.625  2.5  2.75  317.9  0.3  -0.3  14.3  -14.3
2.875  2.75  3.0  310.1  0.3  -0.3  14.0  -14.0
3.125  3.0  3.25  306.3  0.4  -0.4  13.8  -13.8
3.375  3.25  3.5  302.0  1.0  -1.0  14.0  -14.0
3.625  3.5  3.75  277.5  0.5  -0.5  18.2  -18.9
3.875  3.75  4.0  261.3  0.2  -0.2  17.2  -17.8
4.125  4.0  4.25  244.7  0.2  -0.2  16.1  -16.6
4.375  4.25  4.5  238.4  0.2  -0.2  15.7  -16.2
4.625  4.5  4.75  233.8  0.2  -0.2  15.4  -15.9
4.875  4.75  5.0  229.4  0.3  -0.3  15.1  -15.6
