#: table_doi: 10.17182/hepdata.137818.v1/t2
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}\eta}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{p}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab2.yaml
#: keyword reactions: P PB --> CHARGED
#: keyword observables: DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP
#: keyword cmenergies: 5023
#: keyword phrases: Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,,  0.00 TO   5.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-3.625,-3.75,-3.5,23.79,0.06,-0.06,1.56,-1.62
-3.375,-3.5,-3.25,27.1,0.03,-0.03,1.7,-1.76
-3.125,-3.25,-3.0,27.67,0.01,-0.01,1.73,-1.8
-2.875,-3.0,-2.75,29.16,0.01,-0.01,1.83,-1.89
-2.625,-2.75,-2.5,30.7,0.01,-0.01,1.92,-1.99
-2.375,-2.5,-2.25,31.61,0.01,-0.01,1.98,-2.05
-2.145,-2.25,-2.04,32.68,0.01,-0.01,2.05,-2.12
-1.975,-2.04,-1.91,33.29,0.01,-0.01,1.0,-1.0
-1.8599999999999999,-1.91,-1.81,33.58,0.01,-0.01,0.99,-1.0
-1.755,-1.81,-1.7,34.02,0.01,-0.01,1.0,-1.0
-1.65,-1.7,-1.6,34.6,0.2,-0.2,1.1,-1.1
-1.55,-1.6,-1.5,34.8,0.1,-0.1,1.1,-1.1
-1.45,-1.5,-1.4,35.0,0.1,-0.1,1.1,-1.1
-1.35,-1.4,-1.3,35.1,0.1,-0.1,1.1,-1.1
-1.25,-1.3,-1.2,35.19,0.09,-0.09,1.12,-1.12
-1.15,-1.2,-1.1,35.3,0.09,-0.09,1.12,-1.12
-1.05,-1.1,-1.0,35.29,0.08,-0.08,1.11,-1.11
-0.95,-1.0,-0.9,35.32,0.08,-0.08,1.11,-1.11
-0.8500000000000001,-0.9,-0.8,35.29,0.08,-0.08,1.1,-1.1
-0.75,-0.8,-0.7,35.26,0.08,-0.08,1.1,-1.1
-0.6499999999999999,-0.7,-0.6,35.26,0.08,-0.08,1.09,-1.09
-0.55,-0.6,-0.5,35.25,0.07,-0.07,1.09,-1.09
-0.45,-0.5,-0.4,35.35,0.07,-0.07,1.09,-1.09
-0.35,-0.4,-0.3,35.23,0.07,-0.07,1.08,-1.08
-0.25,-0.3,-0.2,35.36,0.07,-0.07,1.08,-1.08
-0.15000000000000002,-0.2,-0.1,35.51,0.07,-0.07,1.08,-1.08
-0.05,-0.1,0.0,35.72,0.07,-0.07,1.09,-1.09
0.05,0.0,0.1,35.95,0.07,-0.07,1.1,-1.1
0.15000000000000002,0.1,0.2,36.25,0.07,-0.07,1.11,-1.11
0.25,0.2,0.3,36.69,0.07,-0.07,1.12,-1.12
0.35,0.3,0.4,37.16,0.08,-0.08,1.14,-1.14
0.45,0.4,0.5,37.61,0.08,-0.08,1.16,-1.16
0.55,0.5,0.6,38.19,0.08,-0.08,1.17,-1.17
0.6499999999999999,0.6,0.7,38.7,0.08,-0.08,1.2,-1.2
0.75,0.7,0.8,39.28,0.08,-0.08,1.22,-1.22
0.8500000000000001,0.8,0.9,39.87,0.08,-0.08,1.24,-1.24
0.95,0.9,1.0,40.43,0.08,-0.08,1.26,-1.26
1.05,1.0,1.1,41.15,0.09,-0.09,1.3,-1.3
1.15,1.1,1.2,41.65,0.09,-0.09,1.32,-1.32
1.25,1.2,1.3,42.0,0.1,-0.1,1.3,-1.3
1.35,1.3,1.4,42.6,0.1,-0.1,1.4,-1.4
1.45,1.4,1.5,42.9,0.1,-0.1,1.4,-1.4
1.55,1.5,1.6,43.5,0.1,-0.1,1.4,-1.4
1.65,1.6,1.7,43.8,0.2,-0.2,1.4,-1.4
1.75,1.7,1.8,44.36,0.02,-0.02,1.32,-1.32
1.85,1.8,1.9,44.71,0.02,-0.02,1.34,-1.34
1.97,1.9,2.04,44.68,0.02,-0.02,1.35,-1.35
2.145,2.04,2.25,46.6,0.02,-0.02,2.92,-3.03
2.375,2.25,2.5,46.32,0.02,-0.02,2.9,-3.01
2.625,2.5,2.75,46.62,0.02,-0.02,2.92,-3.03
2.875,2.75,3.0,46.16,0.02,-0.02,2.89,-3.0
3.125,3.0,3.25,45.99,0.02,-0.02,2.88,-2.99
3.375,3.25,3.5,45.04,0.02,-0.02,2.82,-2.93
3.625,3.5,3.75,42.41,0.03,-0.03,2.79,-2.88
3.875,3.75,4.0,41.37,0.02,-0.02,2.72,-2.81
4.125,4.0,4.25,40.31,0.02,-0.02,2.65,-2.74
4.375,4.25,4.5,38.84,0.02,-0.02,2.55,-2.64
4.625,4.5,4.75,37.81,0.02,-0.02,2.49,-2.57
4.875,4.75,5.0,36.71,0.03,-0.03,2.41,-2.5

#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,, 10.00 TO  20.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-4.875,-5.0,-4.75,14.94,0.02,-0.02,0.98,-1.02
-4.625,-4.75,-4.5,15.97,0.02,-0.02,1.05,-1.09
-4.375,-4.5,-4.25,17.43,0.02,-0.02,1.15,-1.18
-4.125,-4.25,-4.0,18.77,0.02,-0.02,1.23,-1.28
-3.875,-4.0,-3.75,19.74,0.02,-0.02,1.3,-1.34
-3.625,-3.75,-3.5,21.04,0.04,-0.04,1.38,-1.43
-3.375,-3.5,-3.25,24.09,0.02,-0.02,1.51,-1.57
-3.125,-3.25,-3.0,24.591,0.009,-0.009,1.54,-1.598
-2.875,-3.0,-2.75,25.773,0.008,-0.008,1.614,-1.674
-2.625,-2.75,-2.5,26.978,0.008,-0.008,1.689,-1.753
-2.375,-2.5,-2.25,27.597,0.008,-0.008,1.728,-1.793
-2.145,-2.25,-2.04,28.411,0.007,-0.007,1.779,-1.846
-1.975,-2.04,-1.91,28.944,0.008,-0.008,0.865,-0.868
-1.8599999999999999,-1.91,-1.81,29.034,0.008,-0.008,0.86,-0.863
-1.755,-1.81,-1.7,29.316,0.008,-0.008,0.862,-0.865
-1.65,-1.7,-1.6,29.8,0.1,-0.1,1.0,-1.0
-1.55,-1.6,-1.5,29.98,0.09,-0.09,0.98,-0.98
-1.45,-1.5,-1.4,29.96,0.08,-0.08,0.98,-0.98
-1.35,-1.4,-1.3,30.17,0.07,-0.07,0.97,-0.97
-1.25,-1.3,-1.2,30.12,0.06,-0.06,0.96,-0.96
-1.15,-1.2,-1.1,30.22,0.06,-0.06,0.96,-0.96
-1.05,-1.1,-1.0,30.16,0.06,-0.06,0.95,-0.95
-0.95,-1.0,-0.9,30.12,0.05,-0.05,0.95,-0.95
-0.8500000000000001,-0.9,-0.8,30.1,0.05,-0.05,0.94,-0.94
-0.75,-0.8,-0.7,30.02,0.05,-0.05,0.93,-0.93
-0.6499999999999999,-0.7,-0.6,29.98,0.05,-0.05,0.93,-0.93
-0.55,-0.6,-0.5,29.9,0.05,-0.05,0.92,-0.92
-0.45,-0.5,-0.4,29.87,0.05,-0.05,0.91,-0.91
-0.35,-0.4,-0.3,29.85,0.05,-0.05,0.91,-0.91
-0.25,-0.3,-0.2,29.83,0.05,-0.05,0.91,-0.91
-0.15000000000000002,-0.2,-0.1,29.9,0.05,-0.05,0.92,-0.92
-0.05,-0.1,0.0,30.03,0.05,-0.05,0.92,-0.92
