#: table_doi: 10.17182/hepdata.159277.v1/t2
#: name: Table 2
#: description: Normalized transverse momentum correlator, $\sqrt{ \langle\langle  \Delta p_{{\rm T}1}\Delta p_{{\rm T}2} \rangle\rangle }$$/\langle\langle  p_{\rm T} \rangle\rangle $, as a function of the charged-particle multiplicity density, $\langle{\rm d}N_{\rm ch}/{\rm d}\eta \rangle$, in Pb--Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV.
#: data_file: Table2.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: ABS(ETARAP),,,< 0.8
#: PT [GeV],,,0.15-2.0
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
$\langle {\rm d}N_{\rm ch}/{\rm d}\eta \rangle$,$\langle {\rm d}N_{\rm ch}/{\rm d}\eta \rangle$ LOW,$\langle {\rm d}N_{\rm ch}/{\rm d}\eta \rangle$ HIGH,$\sqrt{ \langle\langle  \Delta p_{{\rm T}1}\Delta p_{{\rm T}2} \rangle\rangle }/{\langle\langle  p_{\rm T} \rangle\rangle }$,stat +,stat -,sys +,sys -
3.690765,2.82382,4.55771,0.0997096,0.0118967,-0.0118967,0.0229765,-0.0229765
5.42465,4.55771,6.29159,0.0977737,0.00566638,-0.00566638,0.00932419,-0.00932419
7.1585350000000005,6.29159,8.02548,0.092021,0.00515567,-0.00515567,0.00628292,-0.00628292
8.892425,8.02548,9.75937,0.0904898,0.00365855,-0.00365855,0.00395995,-0.00395995
10.626335000000001,9.75937,11.4933,0.0871442,0.00354692,-0.00354692,0.00341671,-0.00341671
12.360199999999999,11.4933,13.2271,0.0845826,0.00219498,-0.00219498,0.00249597,-0.00249597
14.09405,13.2271,14.961,0.0815456,0.00210725,-0.00210725,0.00247723,-0.00247723
15.827950000000001,14.961,16.6949,0.079983,0.00195792,-0.00195792,0.00201439,-0.00201439
17.56185,16.6949,18.4288,0.0772698,0.00180565,-0.00180565,0.0022605,-0.0022605
19.295749999999998,18.4288,20.1627,0.0741753,0.00174543,-0.00174543,0.00215911,-0.00215911
21.02965,20.1627,21.8966,0.0727023,0.00177444,-0.00177444,0.00224154,-0.00224154
22.763550000000002,21.8966,23.6305,0.0716302,0.00152187,-0.00152187,0.0018607,-0.0018607
24.49745,23.6305,25.3644,0.0695615,0.00128846,-0.00128846,0.00193964,-0.00193964
26.231299999999997,25.3644,27.0982,0.0680668,0.0017327,-0.0017327,0.0018271,-0.0018271
27.96515,27.0982,28.8321,0.0667533,0.00139686,-0.00139686,0.00150096,-0.00150096
29.69905,28.8321,30.566,0.0645607,0.00156484,-0.00156484,0.0018555,-0.0018555
31.432949999999998,30.566,32.2999,0.0632363,0.00199945,-0.00199945,0.00175561,-0.00175561
33.3836,32.2999,34.4673,0.0624058,0.00158779,-0.00158779,0.00163856,-0.00163856
36.20115,34.4673,37.935,0.0597029,0.00101732,-0.00101732,0.00164702,-0.00164702
40.1024,37.935,42.2698,0.057317,0.00108169,-0.00108169,0.00161347,-0.00161347
44.43715,42.2698,46.6045,0.054755,0.000879929,-0.000879929,0.00142251,-0.00142251
48.77185,46.6045,50.9392,0.0524259,0.000842556,-0.000842556,0.00163984,-0.00163984
53.10655,50.9392,55.2739,0.0504838,0.000842119,-0.000842119,0.00144414,-0.00144414
57.44125,55.2739,59.6086,0.04896,0.000935569,-0.000935569,0.00147313,-0.00147313
61.775999999999996,59.6086,63.9434,0.0478244,0.000938887,-0.000938887,0.00132011,-0.00132011
66.76095000000001,63.9434,69.5785,0.0464049,0.000960422,-0.000960422,0.00134382,-0.00134382
73.47975,69.5785,77.381,0.0447668,0.000563815,-0.000563815,0.00131264,-0.00131264
82.79939999999999,77.381,88.2178,0.0427109,0.000441203,-0.000441203,0.00132705,-0.00132705
95.8034,88.2178,103.389,0.0407068,0.000534035,-0.000534035,0.00116107,-0.00116107
112.0585,103.389,120.728,0.0381469,0.000372279,-0.000372279,0.00108111,-0.00108111
129.3975,120.728,138.067,0.0363393,0.000357723,-0.000357723,0.00102202,-0.00102202
146.7365,138.067,155.406,0.034671,0.00036145,-0.00036145,0.000976486,-0.000976486
172.745,155.406,190.084,0.0332815,0.000350484,-0.000350484,0.000959746,-0.000959746
224.7615,190.084,259.439,0.0306352,0.000147145,-0.000147145,0.000814583,-0.000814583
302.78650000000005,259.439,346.134,0.0265749,0.000163919,-0.000163919,0.000611767,-0.000611767
389.481,346.134,432.828,0.0237508,0.000165355,-0.000165355,0.00053988,-0.00053988
476.175,432.828,519.522,0.021594,0.000158808,-0.000158808,0.000457133,-0.000457133
562.8695,519.522,606.217,0.0198637,0.000164899,-0.000164899,0.000416701,-0.000416701
649.564,606.217,692.911,0.0184583,0.000123938,-0.000123938,0.000375582,-0.000375582
736.2584999999999,692.911,779.606,0.0172883,0.000149455,-0.000149455,0.000328751,-0.000328751
833.79,779.606,887.974,0.0162618,0.000117041,-0.000117041,0.000299042,-0.000299042
963.8320000000001,887.974,1039.69,0.0150033,9.96236e-05,-9.96236e-05,0.00028047,-0.00028047
1126.385,1039.69,1213.08,0.0135916,9.94914e-05,-9.94914e-05,0.000250116,-0.000250116
1299.775,1213.08,1386.47,0.0124598,9.93227e-05,-9.93227e-05,0.000227185,-0.000227185
1516.51,1386.47,1646.55,0.011505,0.000105004,-0.000105004,0.00020569,-0.00020569
1863.2849999999999,1646.55,2080.02,0.0100451,5.21323e-05,-5.21323e-05,0.000179959,-0.000179959

