#: table_doi: 10.17182/hepdata.146722.v1/t5
#: name: Table 5
#: description: $v_{3}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab5.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_3_2 | V_3_2 | V_3_2 | V_3_2 | V_3_2 | V_3_2 | V_3_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
4.4399999999999995,4.32,4.56,0.0163,0.0003,-0.0003,0.0009,-0.0009
4.68,4.56,4.8,0.0146,0.0003,-0.0003,0.0009,-0.0009

#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,10 TO 20
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0177,0.0001,-0.0001,0.0012,-0.0012
-3.0,-3.12,-2.88,0.0183,0.0002,-0.0002,0.0011,-0.0011
-2.76,-2.88,-2.64,0.0177,0.0001,-0.0001,0.0009,-0.0009
-2.52,-2.64,-2.4,0.01878,9e-05,-9e-05,0.00084,-0.00084
-2.2800000000000002,-2.4,-2.16,0.0199,0.0002,-0.0002,0.0008,-0.0008
-2.04,-2.16,-1.92,0.0212,0.0001,-0.0001,0.0009,-0.0009
-1.7999999999999998,-1.92,-1.68,0.021,0.0002,-0.0002,0.0011,-0.0011
-1.08,-1.2,-0.96,0.0218,0.0002,-0.0002,0.0005,-0.0005
-0.84,-0.96,-0.72,0.0224,0.0001,-0.0001,0.0005,-0.0005
-0.6,-0.72,-0.48,0.0229,0.0001,-0.0001,0.0005,-0.0005
-0.36,-0.48,-0.24,0.0228,0.0001,-0.0001,0.0005,-0.0005
-0.12,-0.24,0.0,0.02291,8e-05,-8e-05,0.0005,-0.0005
0.11999999999999966,-2.22e-16,0.23999999999999955,0.02291,8e-05,-8e-05,0.0005,-0.0005
0.36,0.24,0.48,0.0228,0.0001,-0.0001,0.0005,-0.0005
0.6,0.48,0.72,0.0229,0.0001,-0.0001,0.0005,-0.0005
0.84,0.72,0.96,0.0224,0.0001,-0.0001,0.0005,-0.0005
1.08,0.96,1.2,0.0218,0.0002,-0.0002,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.021,0.0002,-0.0002,0.001,-0.001
2.04,1.92,2.16,0.0212,0.0001,-0.0001,0.001,-0.001
2.2800000000000002,2.16,2.4,0.0199,0.0002,-0.0002,0.0009,-0.0009
2.52,2.4,2.64,0.01878,9e-05,-9e-05,0.00081,-0.00081
2.76,2.64,2.88,0.0177,0.0001,-0.0001,0.0008,-0.0008
3.0,2.88,3.12,0.0183,0.0002,-0.0002,0.0008,-0.0008
3.24,3.12,3.36,0.0177,0.0001,-0.0001,0.0008,-0.0008
3.48,3.36,3.6,0.0173,0.0002,-0.0002,0.0008,-0.0008
3.7199999999999998,3.6,3.84,0.0179,0.0004,-0.0004,0.0008,-0.0008
3.96,3.84,4.08,0.0152,0.0002,-0.0002,0.0007,-0.0007
4.2,4.08,4.32,0.0158,0.0003,-0.0003,0.0008,-0.0008
4.4399999999999995,4.32,4.56,0.0151,0.0002,-0.0002,0.0008,-0.0008
4.68,4.56,4.8,0.0149,0.0003,-0.0003,0.0008,-0.0008

#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,20 TO 30
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0189,0.0002,-0.0002,0.0014,-0.0014
-3.0,-3.12,-2.88,0.0205,0.0002,-0.0002,0.0013,-0.0013
-2.76,-2.88,-2.64,0.0208,0.0002,-0.0002,0.0011,-0.0011
-2.52,-2.64,-2.4,0.0209,0.0001,-0.0001,0.001,-0.001
-2.2800000000000002,-2.4,-2.16,0.0217,0.0001,-0.0001,0.001,-0.001
-2.04,-2.16,-1.92,0.02206,9e-05,-9e-05,0.00105,-0.00105
-1.7999999999999998,-1.92,-1.68,0.0219,0.0002,-0.0002,0.0012,-0.0012
-1.08,-1.2,-0.96,0.0242,0.0004,-0.0004,0.0005,-0.0005
-0.84,-0.96,-0.72,0.0243,0.0001,-0.0001,0.0005,-0.0005
-0.6,-0.72,-0.48,0.0244,0.0001,-0.0001,0.0005,-0.0005
-0.36,-0.48,-0.24,0.0247,0.0001,-0.0001,0.0005,-0.0005
-0.12,-0.24,0.0,0.0247,0.0002,-0.0002,0.0005,-0.0005
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0247,0.0002,-0.0002,0.0005,-0.0005
0.36,0.24,0.48,0.0247,0.0001,-0.0001,0.0005,-0.0005
0.6,0.48,0.72,0.0244,0.0001,-0.0001,0.0005,-0.0005
0.84,0.72,0.96,0.0243,0.0001,-0.0001,0.0005,-0.0005
1.08,0.96,1.2,0.0242,0.0004,-0.0004,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.0219,0.0002,-0.0002,0.0011,-0.0011
2.04,1.92,2.16,0.02206,9e-05,-9e-05,0.00107,-0.00107
2.2800000000000002,2.16,2.4,0.0217,0.0001,-0.0001,0.001,-0.001
2.52,2.4,2.64,0.0209,0.0001,-0.0001,0.001,-0.001
2.76,2.64,2.88,0.0208,0.0002,-0.0002,0.001,-0.001
3.0,2.88,3.12,0.0205,0.0002,-0.0002,0.0009,-0.0009
3.24,3.12,3.36,0.0189,0.0002,-0.0002,0.0009,-0.0009
3.48,3.36,3.6,0.0186,0.0005,-0.0005,0.0009,-0.0009
3.7199999999999998,3.6,3.84,0.0184,0.0004,-0.0004,0.0009,-0.0009
3.96,3.84,4.08,0.0141,0.0002,-0.0002,0.0007,-0.0007
4.2,4.08,4.32,0.0149,0.0003,-0.0003,0.0008,-0.0008
4.4399999999999995,4.32,4.56,0.0137,0.0001,-0.0001,0.0008,-0.0008
4.68,4.56,4.8,0.0136,0.0002,-0.0002,0.0008,-0.0008

#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,30 TO 40
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0199,0.0002,-0.0002,0.0015,-0.0015
-3.0,-3.12,-2.88,0.021,0.0003,-0.0003,0.0014,-0.0014
-2.76,-2.88,-2.64,0.0237,0.0002,-0.0002,0.0014,-0.0014
-2.52,-2.64,-2.4,0.0218,0.0002,-0.0002,0.0012,-0.0012
-2.2800000000000002,-2.4,-2.16,0.0227,0.0002,-0.0002,0.0012,-0.0012
-2.04,-2.16,-1.92,0.0225,0.0001,-0.0001,0.0012,-0.0012
-1.7999999999999998,-1.92,-1.68,0.0224,0.0004,-0.0004,0.0013,-0.0013
-1.08,-1.2,-0.96,0.0243,0.0006,-0.0006,0.0006,-0.0006
-0.84,-0.96,-0.72,0.0252,0.0001,-0.0001,0.0006,-0.0006
-0.6,-0.72,-0.48,0.0253,0.0001,-0.0001,0.0006,-0.0006
-0.36,-0.48,-0.24,0.0252,0.0001,-0.0001,0.0006,-0.0006
-0.12,-0.24,0.0,0.0249,0.0002,-0.0002,0.0006,-0.0006
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0249,0.0002,-0.0002,0.0006,-0.0006
0.36,0.24,0.48,0.0252,0.0001,-0.0001,0.0006,-0.0006
0.6,0.48,0.72,0.0253,0.0001,-0.0001,0.0006,-0.0006
0.84,0.72,0.96,0.0252,0.0001,-0.0001,0.0006,-0.0006
1.08,0.96,1.2,0.0243,0.0006,-0.0006,0.0006,-0.0006
1.7999999999999998,1.68,1.92,0.0224,0.0004,-0.0004,0.0013,-0.0013
2.04,1.92,2.16,0.0225,0.0001,-0.0001,0.0012,-0.0012
2.2800000000000002,2.16,2.4,0.0227,0.0002,-0.0002,0.0012,-0.0012
2.52,2.4,2.64,0.0218,0.0002,-0.0002,0.0012,-0.0012
2.76,2.64,2.88,0.0237,0.0002,-0.0002,0.0012,-0.0012
3.0,2.88,3.12,0.021,0.0003,-0.0003,0.0011,-0.0011
3.24,3.12,3.36,0.0199,0.0002,-0.0002,0.0011,-0.0011
3.48,3.36,3.6,0.0191,0.0003,-0.0003,0.001,-0.001
3.7199999999999998,3.6,3.84,0.017,0.0004,-0.0004,0.0009,-0.0009
3.96,3.84,4.08,0.0136,0.0003,-0.0003,0.0008,-0.0008
4.2,4.08,4.32,0.014,0.0005,-0.0005,0.0008,-0.0008
4.4399999999999995,4.32,4.56,0.012,0.0003,-0.0003,0.0007,-0.0007
4.68,4.56,4.8,0.0119,0.0004,-0.0004,0.0008,-0.0008

#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,40 TO 50
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0183,0.0003,-0.0003,0.0014,-0.0014
-3.0,-3.12,-2.88,0.0191,0.0004,-0.0004,0.0013,-0.0013
-2.76,-2.88,-2.64,0.0221,0.0002,-0.0002,0.0014,-0.0014
-2.52,-2.64,-2.4,0.0224,0.0003,-0.0003,0.0013,-0.0013
-2.2800000000000002,-2.4,-2.16,0.0219,0.0003,-0.0003,0.0012,-0.0012
-2.04,-2.16,-1.92,0.0217,0.0003,-0.0003,0.0013,-0.0013
-1.7999999999999998,-1.92,-1.68,0.0228,0.0007,-0.0007,0.0014,-0.0014
-1.08,-1.2,-0.96,0.025,0.0008,-0.0008,0.0005,-0.0005
-0.84,-0.96,-0.72,0.0239,0.0003,-0.0003,0.0005,-0.0005
-0.6,-0.72,-0.48,0.0246,0.0002,-0.0002,0.0005,-0.0005
-0.36,-0.48,-0.24,0.0246,0.0003,-0.0003,0.0005,-0.0005
-0.12,-0.24,0.0,0.025,0.0002,-0.0002,0.0005,-0.0005
0.11999999999999966,-2.22e-16,0.23999999999999955,0.025,0.0002,-0.0002,0.0005,-0.0005
0.36,0.24,0.48,0.0246,0.0003,-0.0003,0.0005,-0.0005
0.6,0.48,0.72,0.0246,0.0002,-0.0002,0.0005,-0.0005
0.84,0.72,0.96,0.0239,0.0003,-0.0003,0.0005,-0.0005
1.08,0.96,1.2,0.025,0.0008,-0.0008,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.0228,0.0007,-0.0007,0.0014,-0.0014
2.04,1.92,2.16,0.0217,0.0003,-0.0003,0.0013,-0.0013
2.2800000000000002,2.16,2.4,0.0219,0.0003,-0.0003,0.0013,-0.0013
2.52,2.4,2.64,0.0224,0.0003,-0.0003,0.0013,-0.0013
2.76,2.64,2.88,0.0221,0.0002,-0.0002,0.0012,-0.0012
3.0,2.88,3.12,0.0191,0.0004,-0.0004,0.0011,-0.0011
3.24,3.12,3.36,0.0183,0.0003,-0.0003,0.001,-0.001
3.48,3.36,3.6,0.0176,0.0007,-0.0007,0.001,-0.001
3.7199999999999998,3.6,3.84,0.0155,0.0011,-0.0011,0.0009,-0.0009
3.96,3.84,4.08,0.0134,0.0006,-0.0006,0.0008,-0.0008
4.2,4.08,4.32,0.0132,0.0006,-0.0006,0.0008,-0.0008
4.4399999999999995,4.32,4.56,0.0103,0.0007,-0.0007,0.0007,-0.0007
4.68,4.56,4.8,0.0103,0.0006,-0.0006,0.0007,-0.0007

#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,50 TO 60
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0175,0.0005,-0.0005,0.0016,-0.0016
-3.0,-3.12,-2.88,0.0177,0.0004,-0.0004,0.0014,-0.0014
-2.76,-2.88,-2.64,0.0195,0.0006,-0.0006,0.0015,-0.0015
-2.52,-2.64,-2.4,0.0174,0.0006,-0.0006,0.0012,-0.0012
-2.2800000000000002,-2.4,-2.16,0.0204,0.0004,-0.0004,0.0014,-0.0014
-2.04,-2.16,-1.92,0.0189,0.0007,-0.0007,0.0013,-0.0013
-1.7999999999999998,-1.92,-1.68,0.0207,0.0009,-0.0009,0.0015,-0.0015
-1.08,-1.2,-0.96,0.0181,0.0016,-0.0016,0.0005,-0.0005
-0.84,-0.96,-0.72,0.023,0.0004,-0.0004,0.0006,-0.0006
-0.6,-0.72,-0.48,0.0238,0.0006,-0.0006,0.0006,-0.0006
-0.36,-0.48,-0.24,0.0225,0.0004,-0.0004,0.0006,-0.0006
-0.12,-0.24,0.0,0.0243,0.0006,-0.0006,0.0007,-0.0007
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0243,0.0006,-0.0006,0.0007,-0.0007
0.36,0.24,0.48,0.0225,0.0004,-0.0004,0.0006,-0.0006
0.6,0.48,0.72,0.0238,0.0006,-0.0006,0.0006,-0.0006
0.84,0.72,0.96,0.023,0.0004,-0.0004,0.0006,-0.0006
1.08,0.96,1.2,0.0181,0.0016,-0.0016,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.0207,0.0009,-0.0009,0.0015,-0.0015
2.04,1.92,2.16,0.0189,0.0007,-0.0007,0.0013,-0.0013
2.2800000000000002,2.16,2.4,0.0204,0.0004,-0.0004,0.0014,-0.0014
2.52,2.4,2.64,0.0174,0.0006,-0.0006,0.0012,-0.0012
2.76,2.64,2.88,0.0195,0.0006,-0.0006,0.0013,-0.0013
3.0,2.88,3.12,0.0177,0.0004,-0.0004,0.0012,-0.0012
3.24,3.12,3.36,0.0175,0.0005,-0.0005,0.0012,-0.0012
3.48,3.36,3.6,0.015,0.001,-0.001,0.001,-0.001
3.7199999999999998,3.6,3.84,0.014,0.001,-0.001,0.001,-0.001
3.96,3.84,4.08,0.0098,0.0011,-0.0011,0.0007,-0.0007
4.2,4.08,4.32,0.0098,0.0008,-0.0008,0.0007,-0.0007
4.4399999999999995,4.32,4.56,0.0051,0.0011,-0.0011,0.0004,-0.0004
4.68,4.56,4.8,0.0103,0.0011,-0.0011,0.0008,-0.0008

