#: table_doi: 10.17182/hepdata.146722.v1/t1
#: name: Table 1
#: description: $v_{2}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab1.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_2_2 | V_2_2 | V_2_2 | V_2_2 | V_2_2 | V_2_2 | V_2_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0186,0.0002,-0.0002,0.0013,-0.0013
-3.0,-3.12,-2.88,0.0191,0.0001,-0.0001,0.0012,-0.0012
-2.76,-2.88,-2.64,0.01957,7e-05,-7e-05,0.00112,-0.00112
-2.52,-2.64,-2.4,0.0204,0.0001,-0.0001,0.0011,-0.0011
-2.2800000000000002,-2.4,-2.16,0.0208,0.0001,-0.0001,0.001,-0.001
-2.04,-2.16,-1.92,0.0213,0.0001,-0.0001,0.001,-0.001
-1.7999999999999998,-1.92,-1.68,0.0212,0.0001,-0.0001,0.001,-0.001
-1.08,-1.2,-0.96,0.0209,0.0005,-0.0005,0.0006,-0.0006
-0.84,-0.96,-0.72,0.02277,6e-05,-6e-05,0.00071,-0.00071
-0.6,-0.72,-0.48,0.0236,0.0001,-0.0001,0.0007,-0.0007
-0.36,-0.48,-0.24,0.0245,0.0001,-0.0001,0.0008,-0.0008
-0.12,-0.24,0.0,0.0259,0.0001,-0.0001,0.0008,-0.0008
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0259,0.0001,-0.0001,0.0008,-0.0008
0.36,0.24,0.48,0.0245,0.0001,-0.0001,0.0008,-0.0008
0.6,0.48,0.72,0.0236,0.0001,-0.0001,0.0007,-0.0007
0.84,0.72,0.96,0.02277,6e-05,-6e-05,0.00071,-0.00071
1.08,0.96,1.2,0.0209,0.0005,-0.0005,0.0006,-0.0006
1.7999999999999998,1.68,1.92,0.0212,0.0001,-0.0001,0.001,-0.001
2.04,1.92,2.16,0.0213,0.0001,-0.0001,0.001,-0.001
2.2800000000000002,2.16,2.4,0.0208,0.0001,-0.0001,0.001,-0.001
2.52,2.4,2.64,0.0204,0.0001,-0.0001,0.001,-0.001
2.76,2.64,2.88,0.01957,7e-05,-7e-05,0.00094,-0.00094
3.0,2.88,3.12,0.0191,0.0001,-0.0001,0.0009,-0.0009
3.24,3.12,3.36,0.0186,0.0002,-0.0002,0.0009,-0.0009
3.48,3.36,3.6,0.0179,0.0002,-0.0002,0.0009,-0.0009
3.7199999999999998,3.6,3.84,0.0177,0.0003,-0.0003,0.0009,-0.0009
3.96,3.84,4.08,0.0176,0.0002,-0.0002,0.0009,-0.0009
4.2,4.08,4.32,0.017,0.0001,-0.0001,0.0009,-0.0009
4.4399999999999995,4.32,4.56,0.0158,0.0001,-0.0001,0.0009,-0.0009
4.68,4.56,4.8,0.0147,0.0002,-0.0002,0.0008,-0.0008

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,5 TO 10
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0321,0.0001,-0.0001,0.0022,-0.0022
-3.0,-3.12,-2.88,0.0331,0.0001,-0.0001,0.002,-0.002
-2.76,-2.88,-2.64,0.0332,0.0001,-0.0001,0.0018,-0.0018
-2.52,-2.64,-2.4,0.0334,0.0001,-0.0001,0.0017,-0.0017
-2.2800000000000002,-2.4,-2.16,0.03419,9e-05,-9e-05,0.00159,-0.00159
-2.04,-2.16,-1.92,0.0358,0.0001,-0.0001,0.0016,-0.0016
-1.7999999999999998,-1.92,-1.68,0.0357,0.0002,-0.0002,0.0016,-0.0016
-1.08,-1.2,-0.96,0.0365,0.0003,-0.0003,0.0008,-0.0008
-0.84,-0.96,-0.72,0.03731,5e-05,-5e-05,0.00086,-0.00086
-0.6,-0.72,-0.48,0.03832,9e-05,-9e-05,0.00088,-0.00088
-0.36,-0.48,-0.24,0.03889,9e-05,-9e-05,0.00089,-0.00089
-0.12,-0.24,0.0,0.03983,7e-05,-7e-05,0.00092,-0.00092
0.11999999999999966,-2.22e-16,0.23999999999999955,0.03983,7e-05,-7e-05,0.00092,-0.00092
0.36,0.24,0.48,0.03889,9e-05,-9e-05,0.00089,-0.00089
0.6,0.48,0.72,0.03832,9e-05,-9e-05,0.00088,-0.00088
0.84,0.72,0.96,0.03731,5e-05,-5e-05,0.00086,-0.00086
1.08,0.96,1.2,0.0365,0.0003,-0.0003,0.0008,-0.0008
1.7999999999999998,1.68,1.92,0.0357,0.0002,-0.0002,0.0016,-0.0016
2.04,1.92,2.16,0.0358,0.0001,-0.0001,0.0016,-0.0016
2.2800000000000002,2.16,2.4,0.03419,9e-05,-9e-05,0.00152,-0.00152
2.52,2.4,2.64,0.0334,0.0001,-0.0001,0.0015,-0.0015
2.76,2.64,2.88,0.0332,0.0001,-0.0001,0.0015,-0.0015
3.0,2.88,3.12,0.0331,0.0001,-0.0001,0.0015,-0.0015
3.24,3.12,3.36,0.0321,0.0001,-0.0001,0.0015,-0.0015
3.48,3.36,3.6,0.0309,0.0002,-0.0002,0.0015,-0.0015
3.7199999999999998,3.6,3.84,0.0311,0.0002,-0.0002,0.0015,-0.0015
3.96,3.84,4.08,0.0303,0.0001,-0.0001,0.0015,-0.0015
4.2,4.08,4.32,0.0295,0.0002,-0.0002,0.0015,-0.0015
4.4399999999999995,4.32,4.56,0.0282,0.0002,-0.0002,0.0015,-0.0015
4.68,4.56,4.8,0.0271,0.0001,-0.0001,0.0015,-0.0015

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,10 TO 20
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0478,8e-05,-8e-05,0.00318,-0.00318
-3.0,-3.12,-2.88,0.04848,7e-05,-7e-05,0.00289,-0.00289
-2.76,-2.88,-2.64,0.04849,7e-05,-7e-05,0.0026,-0.0026
-2.52,-2.64,-2.4,0.04864,6e-05,-6e-05,0.00235,-0.00235
-2.2800000000000002,-2.4,-2.16,0.0495,7e-05,-7e-05,0.00221,-0.00221
-2.04,-2.16,-1.92,0.05184,6e-05,-6e-05,0.00221,-0.00221
-1.7999999999999998,-1.92,-1.68,0.0519,0.0001,-0.0001,0.0022,-0.0022
-1.08,-1.2,-0.96,0.0538,0.0002,-0.0002,0.001,-0.001
-0.84,-0.96,-0.72,0.05456,5e-05,-5e-05,0.00104,-0.00104
-0.6,-0.72,-0.48,0.05542,6e-05,-6e-05,0.00105,-0.00105
-0.36,-0.48,-0.24,0.05599,5e-05,-5e-05,0.00106,-0.00106
-0.12,-0.24,0.0,0.05719,6e-05,-6e-05,0.00109,-0.00109
0.11999999999999966,-2.22e-16,0.23999999999999955,0.05719,6e-05,-6e-05,0.00109,-0.00109
0.36,0.24,0.48,0.05599,5e-05,-5e-05,0.00106,-0.00106
0.6,0.48,0.72,0.05542,6e-05,-6e-05,0.00105,-0.00105
0.84,0.72,0.96,0.05456,5e-05,-5e-05,0.00104,-0.00104
1.08,0.96,1.2,0.0538,0.0002,-0.0002,0.001,-0.001
1.7999999999999998,1.68,1.92,0.0519,0.0001,-0.0001,0.0022,-0.0022
2.04,1.92,2.16,0.05184,6e-05,-6e-05,0.0022,-0.0022
2.2800000000000002,2.16,2.4,0.0495,7e-05,-7e-05,0.00211,-0.00211
2.52,2.4,2.64,0.04864,6e-05,-6e-05,0.00209,-0.00209
2.76,2.64,2.88,0.04849,7e-05,-7e-05,0.00211,-0.00211
3.0,2.88,3.12,0.04848,7e-05,-7e-05,0.00214,-0.00214
3.24,3.12,3.36,0.0478,8e-05,-8e-05,0.00215,-0.00215
3.48,3.36,3.6,0.046,0.0001,-0.0001,0.0021,-0.0021
3.7199999999999998,3.6,3.84,0.0463,0.0001,-0.0001,0.0022,-0.0022
3.96,3.84,4.08,0.04441,8e-05,-8e-05,0.00213,-0.00213
4.2,4.08,4.32,0.0438,9e-05,-9e-05,0.00216,-0.00216
4.4399999999999995,4.32,4.56,0.04182,9e-05,-9e-05,0.00212,-0.00212
4.68,4.56,4.8,0.04018,8e-05,-8e-05,0.0021,-0.0021

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,20 TO 30
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0614,0.0001,-0.0001,0.0041,-0.0041
-3.0,-3.12,-2.88,0.06213,8e-05,-8e-05,0.00368,-0.00368
-2.76,-2.88,-2.64,0.06242,9e-05,-9e-05,0.00331,-0.00331
-2.52,-2.64,-2.4,0.06317,9e-05,-9e-05,0.00302,-0.00302
-2.2800000000000002,-2.4,-2.16,0.06394,8e-05,-8e-05,0.00281,-0.00281
-2.04,-2.16,-1.92,0.06622,8e-05,-8e-05,0.00278,-0.00278
-1.7999999999999998,-1.92,-1.68,0.0663,7e-05,-7e-05,0.00278,-0.00278
-1.08,-1.2,-0.96,0.0705,0.0002,-0.0002,0.0011,-0.0011
-0.84,-0.96,-0.72,0.07072,4e-05,-4e-05,0.00106,-0.00106
-0.6,-0.72,-0.48,0.0715,6e-05,-6e-05,0.00107,-0.00107
-0.36,-0.48,-0.24,0.07233,6e-05,-6e-05,0.00108,-0.00108
-0.12,-0.24,0.0,0.07344,6e-05,-6e-05,0.0011,-0.0011
0.11999999999999966,-2.22e-16,0.23999999999999955,0.07344,6e-05,-6e-05,0.0011,-0.0011
0.36,0.24,0.48,0.07233,6e-05,-6e-05,0.00108,-0.00108
0.6,0.48,0.72,0.0715,6e-05,-6e-05,0.00107,-0.00107
0.84,0.72,0.96,0.07072,4e-05,-4e-05,0.00106,-0.00106
1.08,0.96,1.2,0.0705,0.0002,-0.0002,0.0011,-0.0011
1.7999999999999998,1.68,1.92,0.0663,7e-05,-7e-05,0.00277,-0.00277
2.04,1.92,2.16,0.06622,8e-05,-8e-05,0.00276,-0.00276
2.2800000000000002,2.16,2.4,0.06394,8e-05,-8e-05,0.00268,-0.00268
2.52,2.4,2.64,0.06317,9e-05,-9e-05,0.00267,-0.00267
2.76,2.64,2.88,0.06242,9e-05,-9e-05,0.00267,-0.00267
3.0,2.88,3.12,0.06213,8e-05,-8e-05,0.0027,-0.0027
3.24,3.12,3.36,0.0614,0.0001,-0.0001,0.0027,-0.0027
3.48,3.36,3.6,0.0602,0.0001,-0.0001,0.0027,-0.0027
3.7199999999999998,3.6,3.84,0.0601,0.0002,-0.0002,0.0028,-0.0028
3.96,3.84,4.08,0.0575,0.0002,-0.0002,0.0027,-0.0027
4.2,4.08,4.32,0.05662,8e-05,-8e-05,0.00276,-0.00276
4.4399999999999995,4.32,4.56,0.0544,7e-05,-7e-05,0.00273,-0.00273
4.68,4.56,4.8,0.0519,0.0001,-0.0001,0.0027,-0.0027

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,30 TO 40
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0682,0.0001,-0.0001,0.0045,-0.0045
-3.0,-3.12,-2.88,0.069,9e-05,-9e-05,0.00409,-0.00409
-2.76,-2.88,-2.64,0.0694,0.0001,-0.0001,0.0037,-0.0037
-2.52,-2.64,-2.4,0.07127,9e-05,-9e-05,0.00341,-0.00341
-2.2800000000000002,-2.4,-2.16,0.0721,0.0001,-0.0001,0.0032,-0.0032
-2.04,-2.16,-1.92,0.07403,8e-05,-8e-05,0.00312,-0.00312
-1.7999999999999998,-1.92,-1.68,0.0747,0.0001,-0.0001,0.0031,-0.0031
-1.08,-1.2,-0.96,0.08,0.0002,-0.0002,0.0011,-0.0011
-0.84,-0.96,-0.72,0.08051,8e-05,-8e-05,0.00113,-0.00113
-0.6,-0.72,-0.48,0.0814,0.0001,-0.0001,0.0011,-0.0011
-0.36,-0.48,-0.24,0.08217,6e-05,-6e-05,0.00115,-0.00115
-0.12,-0.24,0.0,0.08376,8e-05,-8e-05,0.00117,-0.00117
0.11999999999999966,-2.22e-16,0.23999999999999955,0.08376,8e-05,-8e-05,0.00117,-0.00117
0.36,0.24,0.48,0.08217,6e-05,-6e-05,0.00115,-0.00115
0.6,0.48,0.72,0.0814,0.0001,-0.0001,0.0011,-0.0011
0.84,0.72,0.96,0.08051,8e-05,-8e-05,0.00113,-0.00113
1.08,0.96,1.2,0.08,0.0002,-0.0002,0.0011,-0.0011
1.7999999999999998,1.68,1.92,0.0747,0.0001,-0.0001,0.0031,-0.0031
2.04,1.92,2.16,0.07403,8e-05,-8e-05,0.0031,-0.0031
2.2800000000000002,2.16,2.4,0.0721,0.0001,-0.0001,0.003,-0.003
2.52,2.4,2.64,0.07127,9e-05,-9e-05,0.00302,-0.00302
2.76,2.64,2.88,0.0694,0.0001,-0.0001,0.003,-0.003
3.0,2.88,3.12,0.069,9e-05,-9e-05,0.003,-0.003
3.24,3.12,3.36,0.0682,0.0001,-0.0001,0.003,-0.003
3.48,3.36,3.6,0.0671,0.0001,-0.0001,0.003,-0.003
3.7199999999999998,3.6,3.84,0.0665,0.0002,-0.0002,0.0031,-0.0031
3.96,3.84,4.08,0.064,0.0002,-0.0002,0.003,-0.003
4.2,4.08,4.32,0.0626,0.0002,-0.0002,0.0031,-0.0031
4.4399999999999995,4.32,4.56,0.0601,0.0002,-0.0002,0.003,-0.003
4.68,4.56,4.8,0.0575,0.0001,-0.0001,0.003,-0.003

#: PARTICLE,,,CHARGED
