#: table_doi: 10.17182/hepdata.146722.v1/t4
#: name: Table 4
#: description: $v_{2}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab4.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_2_2 | V_2_2 | V_2_2 | V_2_2 | V_2_2 | V_2_2 | V_2_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.01899,9e-05,-9e-05,0.00132,-0.00132
-3.0,-3.12,-2.88,0.02007,9e-05,-9e-05,0.00127,-0.00127
-2.76,-2.88,-2.64,0.02018,9e-05,-9e-05,0.00115,-0.00115
-2.52,-2.64,-2.4,0.0205,0.0001,-0.0001,0.0011,-0.0011
-2.2800000000000002,-2.4,-2.16,0.02093,9e-05,-9e-05,0.00103,-0.00103
-2.04,-2.16,-1.92,0.0215,0.0001,-0.0001,0.001,-0.001
-1.7999999999999998,-1.92,-1.68,0.022,0.0002,-0.0002,0.001,-0.001
-1.08,-1.2,-0.96,0.0211,0.0003,-0.0003,0.0007,-0.0007
-0.84,-0.96,-0.72,0.02217,8e-05,-8e-05,0.00069,-0.00069
-0.6,-0.72,-0.48,0.02223,7e-05,-7e-05,0.00069,-0.00069
-0.36,-0.48,-0.24,0.02225,7e-05,-7e-05,0.00069,-0.00069
-0.12,-0.24,0.0,0.02245,8e-05,-8e-05,0.0007,-0.0007
0.11999999999999966,-2.22e-16,0.23999999999999955,0.02245,8e-05,-8e-05,0.0007,-0.0007
0.36,0.24,0.48,0.02225,7e-05,-7e-05,0.00069,-0.00069
0.6,0.48,0.72,0.02223,7e-05,-7e-05,0.00069,-0.00069
0.84,0.72,0.96,0.02217,8e-05,-8e-05,0.00069,-0.00069
1.08,0.96,1.2,0.0211,0.0003,-0.0003,0.0007,-0.0007
1.7999999999999998,1.68,1.92,0.022,0.0002,-0.0002,0.001,-0.001
