#: table_doi: 10.17182/hepdata.146722.v1/t3
#: name: Table 3
#: description: $v_{4}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab3.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_4_2 | V_4_2 | V_4_2 | V_4_2 | V_4_2 | V_4_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_4_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0081,0.0005,-0.0005,0.0009,-0.0009
-3.0,-3.12,-2.88,0.0086,0.0007,-0.0007,0.0008,-0.0008
-2.76,-2.88,-2.64,0.0095,0.0005,-0.0005,0.0009,-0.0009
-2.52,-2.64,-2.4,0.0075,0.0005,-0.0005,0.0006,-0.0006
-2.2800000000000002,-2.4,-2.16,0.0084,0.0006,-0.0006,0.0007,-0.0007
-2.04,-2.16,-1.92,0.0092,0.0005,-0.0005,0.0008,-0.0008
-1.7999999999999998,-1.92,-1.68,0.0085,0.0006,-0.0006,0.0009,-0.0009
-1.08,-1.2,-0.96,0.0081,0.0007,-0.0007,0.0005,-0.0005
-0.84,-0.96,-0.72,0.0085,0.0002,-0.0002,0.0005,-0.0005
-0.6,-0.72,-0.48,0.0097,0.0003,-0.0003,0.0006,-0.0006
-0.36,-0.48,-0.24,0.0101,0.0003,-0.0003,0.0006,-0.0006
-0.12,-0.24,0.0,0.011,0.0004,-0.0004,0.0007,-0.0007
0.11999999999999966,-2.22e-16,0.23999999999999955,0.011,0.0004,-0.0004,0.0007,-0.0007
0.36,0.24,0.48,0.0101,0.0003,-0.0003,0.0006,-0.0006
0.6,0.48,0.72,0.0097,0.0003,-0.0003,0.0006,-0.0006
0.84,0.72,0.96,0.0085,0.0002,-0.0002,0.0005,-0.0005
1.08,0.96,1.2,0.0081,0.0007,-0.0007,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.0085,0.0006,-0.0006,0.0008,-0.0008
2.04,1.92,2.16,0.0092,0.0005,-0.0005,0.0008,-0.0008
2.2800000000000002,2.16,2.4,0.0084,0.0006,-0.0006,0.0007,-0.0007
2.52,2.4,2.64,0.0075,0.0005,-0.0005,0.0007,-0.0007
2.76,2.64,2.88,0.0095,0.0005,-0.0005,0.0008,-0.0008
3.0,2.88,3.12,0.0086,0.0007,-0.0007,0.0008,-0.0008
3.24,3.12,3.36,0.0081,0.0005,-0.0005,0.0007,-0.0007
3.48,3.36,3.6,0.009,0.0013,-0.0013,0.0008,-0.0008
3.7199999999999998,3.6,3.84,0.0086,0.0008,-0.0008,0.0007,-0.0007
