#: table_doi: 10.17182/hepdata.146722.v1/t7
#: name: Table 7
#: description: $v_{2}\{4\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab7.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_2_4 | V_2_4 | V_2_4 | V_2_4 | V_2_4 | V_2_4
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,4
#: ETARAP GAP,,,(0.0, 2.0)
#: CENTRALITY [PCT],,,5 TO 10
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_4,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0266,0.0002,-0.0002,0.0018,-0.0018
-3.0,-3.12,-2.88,0.0268,0.0003,-0.0003,0.0016,-0.0016
-2.76,-2.88,-2.64,0.0272,0.0002,-0.0002,0.0015,-0.0015
-2.52,-2.64,-2.4,0.0276,0.0002,-0.0002,0.0013,-0.0013
-2.2800000000000002,-2.4,-2.16,0.0275,0.0003,-0.0003,0.0012,-0.0012
-2.04,-2.16,-1.92,0.0286,0.0002,-0.0002,0.0012,-0.0012
-1.7999999999999998,-1.92,-1.68,0.0292,0.0004,-0.0004,0.0013,-0.0013
-1.08,-1.2,-0.96,0.0276,0.0006,-0.0006,0.0013,-0.0013
-0.84,-0.96,-0.72,0.0296,0.0002,-0.0002,0.0014,-0.0014
-0.6,-0.72,-0.48,0.0297,0.0002,-0.0002,0.0014,-0.0014
-0.36,-0.48,-0.24,0.0301,0.0002,-0.0002,0.0014,-0.0014
-0.12,-0.24,0.0,0.0298,0.0002,-0.0002,0.0014,-0.0014
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0298,0.0002,-0.0002,0.0014,-0.0014
0.36,0.24,0.48,0.0301,0.0002,-0.0002,0.0014,-0.0014
0.6,0.48,0.72,0.0297,0.0002,-0.0002,0.0014,-0.0014
0.84,0.72,0.96,0.0296,0.0002,-0.0002,0.0014,-0.0014
1.08,0.96,1.2,0.0276,0.0006,-0.0006,0.0013,-0.0013
1.7999999999999998,1.68,1.92,0.0292,0.0004,-0.0004,0.0012,-0.0012
2.04,1.92,2.16,0.0286,0.0002,-0.0002,0.0012,-0.0012
2.2800000000000002,2.16,2.4,0.0275,0.0003,-0.0003,0.0012,-0.0012
2.52,2.4,2.64,0.0276,0.0002,-0.0002,0.0012,-0.0012
2.76,2.64,2.88,0.0272,0.0002,-0.0002,0.0012,-0.0012
3.0,2.88,3.12,0.0268,0.0003,-0.0003,0.0012,-0.0012
3.24,3.12,3.36,0.0266,0.0002,-0.0002,0.0012,-0.0012
3.48,3.36,3.6,0.0259,0.0004,-0.0004,0.0012,-0.0012
3.7199999999999998,3.6,3.84,0.0264,0.0004,-0.0004,0.0012,-0.0012
3.96,3.84,4.08,0.0252,0.0002,-0.0002,0.0012,-0.0012
4.2,4.08,4.32,0.0249,0.0005,-0.0005,0.0012,-0.0012
4.4399999999999995,4.32,4.56,0.0237,0.0004,-0.0004,0.0012,-0.0012
4.68,4.56,4.8,0.0227,0.0004,-0.0004,0.0012,-0.0012

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,4
#: ETARAP GAP,,,(0.0, 2.0)
#: CENTRALITY [PCT],,,10 TO 20
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_4,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0421,0.0001,-0.0001,0.0028,-0.0028
-3.0,-3.12,-2.88,0.0425,0.0001,-0.0001,0.0025,-0.0025
-2.76,-2.88,-2.64,0.04339,8e-05,-8e-05,0.00228,-0.00228
-2.52,-2.64,-2.4,0.0434,0.0001,-0.0001,0.0021,-0.0021
-2.2800000000000002,-2.4,-2.16,0.0442,9e-05,-9e-05,0.00192,-0.00192
-2.04,-2.16,-1.92,0.04539,8e-05,-8e-05,0.00188,-0.00188
-1.7999999999999998,-1.92,-1.68,0.0456,0.0001,-0.0001,0.0019,-0.0019
-1.08,-1.2,-0.96,0.0463,0.0003,-0.0003,0.0009,-0.0009
-0.84,-0.96,-0.72,0.04713,8e-05,-8e-05,0.00094,-0.00094
-0.6,-0.72,-0.48,0.04742,6e-05,-6e-05,0.00095,-0.00095
-0.36,-0.48,-0.24,0.04754,8e-05,-8e-05,0.00095,-0.00095
-0.12,-0.24,0.0,0.0476,0.0001,-0.0001,0.001,-0.001
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0476,0.0001,-0.0001,0.001,-0.001
0.36,0.24,0.48,0.04754,8e-05,-8e-05,0.00095,-0.00095
0.6,0.48,0.72,0.04742,6e-05,-6e-05,0.00095,-0.00095
0.84,0.72,0.96,0.04713,8e-05,-8e-05,0.00094,-0.00094
1.08,0.96,1.2,0.0463,0.0003,-0.0003,0.0009,-0.0009
1.7999999999999998,1.68,1.92,0.0456,0.0001,-0.0001,0.0019,-0.0019
2.04,1.92,2.16,0.04539,8e-05,-8e-05,0.00187,-0.00187
2.2800000000000002,2.16,2.4,0.0442,9e-05,-9e-05,0.00183,-0.00183
2.52,2.4,2.64,0.0434,0.0001,-0.0001,0.0018,-0.0018
2.76,2.64,2.88,0.04339,8e-05,-8e-05,0.00183,-0.00183
3.0,2.88,3.12,0.0425,0.0001,-0.0001,0.0018,-0.0018
3.24,3.12,3.36,0.0421,0.0001,-0.0001,0.0018,-0.0018
3.48,3.36,3.6,0.0409,0.0002,-0.0002,0.0018,-0.0018
3.7199999999999998,3.6,3.84,0.0414,0.0003,-0.0003,0.0019,-0.0019
3.96,3.84,4.08,0.0397,0.0001,-0.0001,0.0019,-0.0019
4.2,4.08,4.32,0.0396,0.0002,-0.0002,0.0019,-0.0019
4.4399999999999995,4.32,4.56,0.0375,0.0001,-0.0001,0.0019,-0.0019
4.68,4.56,4.8,0.0363,0.0002,-0.0002,0.0019,-0.0019

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,4
#: ETARAP GAP,,,(0.0, 2.0)
#: CENTRALITY [PCT],,,20 TO 30
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_4,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0548,0.0001,-0.0001,0.0036,-0.0036
-3.0,-3.12,-2.88,0.0559,0.0001,-0.0001,0.0033,-0.0033
-2.76,-2.88,-2.64,0.05583,9e-05,-9e-05,0.00291,-0.00291
-2.52,-2.64,-2.4,0.05661,9e-05,-9e-05,0.00266,-0.00266
-2.2800000000000002,-2.4,-2.16,0.05758,8e-05,-8e-05,0.00248,-0.00248
-2.04,-2.16,-1.92,0.0586,0.0001,-0.0001,0.0024,-0.0024
-1.7999999999999998,-1.92,-1.68,0.0593,0.0001,-0.0001,0.0024,-0.0024
-1.08,-1.2,-0.96,0.0624,0.0003,-0.0003,0.0011,-0.0011
-0.84,-0.96,-0.72,0.06234,7e-05,-7e-05,0.00112,-0.00112
-0.6,-0.72,-0.48,0.06274,8e-05,-8e-05,0.00113,-0.00113
-0.36,-0.48,-0.24,0.06291,6e-05,-6e-05,0.00113,-0.00113
-0.12,-0.24,0.0,0.0631,5e-05,-5e-05,0.00114,-0.00114
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0631,5e-05,-5e-05,0.00114,-0.00114
0.36,0.24,0.48,0.06291,6e-05,-6e-05,0.00113,-0.00113
0.6,0.48,0.72,0.06274,8e-05,-8e-05,0.00113,-0.00113
0.84,0.72,0.96,0.06234,7e-05,-7e-05,0.00112,-0.00112
1.08,0.96,1.2,0.0624,0.0003,-0.0003,0.0011,-0.0011
1.7999999999999998,1.68,1.92,0.0593,0.0001,-0.0001,0.0024,-0.0024
2.04,1.92,2.16,0.0586,0.0001,-0.0001,0.0024,-0.0024
2.2800000000000002,2.16,2.4,0.05758,8e-05,-8e-05,0.00236,-0.00236
2.52,2.4,2.64,0.05661,9e-05,-9e-05,0.00234,-0.00234
2.76,2.64,2.88,0.05583,9e-05,-9e-05,0.00233,-0.00233
3.0,2.88,3.12,0.0559,0.0001,-0.0001,0.0024,-0.0024
3.24,3.12,3.36,0.0548,0.0001,-0.0001,0.0024,-0.0024
3.48,3.36,3.6,0.054,0.0001,-0.0001,0.0024,-0.0024
3.7199999999999998,3.6,3.84,0.0537,0.0002,-0.0002,0.0024,-0.0024
3.96,3.84,4.08,0.0519,0.0001,-0.0001,0.0024,-0.0024
4.2,4.08,4.32,0.0513,0.0001,-0.0001,0.0025,-0.0025
4.4399999999999995,4.32,4.56,0.0492,0.0002,-0.0002,0.0024,-0.0024
4.68,4.56,4.8,0.0476,0.0002,-0.0002,0.0024,-0.0024

#: PARTICLE,,,CHARGED
#: HARMONIC,,,2
#: CORRELATOR,,,4
#: ETARAP GAP,,,(0.0, 2.0)
#: CENTRALITY [PCT],,,30 TO 40
ETARAP,ETARAP LOW,ETARAP HIGH,V_2_4,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0614,0.0001,-0.0001,0.004,-0.004
-3.0,-3.12,-2.88,0.0624,0.0001,-0.0001,0.0037,-0.0037
-2.76,-2.88,-2.64,0.0619,0.0001,-0.0001,0.0032,-0.0032
-2.52,-2.64,-2.4,0.0635,0.0001,-0.0001,0.003,-0.003
-2.2800000000000002,-2.4,-2.16,0.0635,0.0002,-0.0002,0.0027,-0.0027
-2.04,-2.16,-1.92,0.0644,0.0001,-0.0001,0.0026,-0.0026
-1.7999999999999998,-1.92,-1.68,0.0661,0.0002,-0.0002,0.0027,-0.0027
-1.08,-1.2,-0.96,0.0706,0.0003,-0.0003,0.0011,-0.0011
-0.84,-0.96,-0.72,0.0706,0.0001,-0.0001,0.0011,-0.0011
-0.6,-0.72,-0.48,0.07085,8e-05,-8e-05,0.00106,-0.00106
-0.36,-0.48,-0.24,0.0712,0.0001,-0.0001,0.0011,-0.0011
-0.12,-0.24,0.0,0.07116,9e-05,-9e-05,0.00107,-0.00107
0.11999999999999966,-2.22e-16,0.23999999999999955,0.07116,9e-05,-9e-05,0.00107,-0.00107
0.36,0.24,0.48,0.0712,0.0001,-0.0001,0.0011,-0.0011
0.6,0.48,0.72,0.07085,8e-05,-8e-05,0.00106,-0.00106
0.84,0.72,0.96,0.0706,0.0001,-0.0001,0.0011,-0.0011
1.08,0.96,1.2,0.0706,0.0003,-0.0003,0.0011,-0.0011
1.7999999999999998,1.68,1.92,0.0661,0.0002,-0.0002,0.0027,-0.0027
2.04,1.92,2.16,0.0644,0.0001,-0.0001,0.0026,-0.0026
